rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep1	NA	2PLP	fov_3	103	4747	0.0031128405	3	46.0873786407767	positive	2
rep1	NA	2PLP	fov_4	115	4045	0.003509575	3	35.17391304347826	positive	2
rep1	NA	2PLP	fov_5	109	4927	0.0033569848	3	45.20183486238532	positive	2
rep1	NA	2PLP	fov_6	98	5479	0.0031433585	3	55.90816326530612	positive	2
rep1	NA	2PLP	fov_7	88	3872	0.0027008469	3	44	positive	2
rep1	NA	2PLP	fov_8	119	4020	0.0029983978	3	33.78151260504202	positive	2
rep1	NA	2PLP	fov_9	50	621	0.0048371097	3	12.42	positive	2
rep1	NA	3PLP	fov_0	102	4464	0.0030365454	3	43.76470588235294	positive	3
rep1	NA	3PLP	fov_1	89	3517	0.0024872206	3	39.51685393258427	positive	3
rep1	NA	3PLP	fov_2	74	2603	0.002777142	3	35.17567567567568	positive	3
rep1	NA	3PLP	fov_3	99	4046	0.0032349126	3	40.86868686868687	positive	3
rep1	NA	3PLP	fov_4	89	3488	0.0033112078	3	39.19101123595506	positive	3
rep1	NA	3PLP	fov_5	121	3558	0.0033264668	3	29.40495867768595	positive	3
rep1	NA	3PLP	fov_6	112	3665	0.0032654307	3	32.723214285714285	positive	3
rep1	NA	3PLP	fov_7	85	2678	0.0029144732	3	31.505882352941178	positive	3
rep1	NA	3PLP	fov_8	118	2938	0.00343328	3	24.89830508474576	positive	3
rep1	NA	3PLP	fov_9	108	4189	0.0031891356	3	38.78703703703704	positive	3
rep1	NA	4PLP	fov_0	30	855	0.002136263	3	28.5	positive	4
rep1	NA	4PLP	fov_1	44	940	0.0021972992	3	21.363636363636363	positive	4
rep1	NA	4PLP	fov_2	53	1138	0.0021820401	3	21.471698113207548	positive	4
rep1	NA	4PLP	fov_3	55	1232	0.0023193713	3	22.4	positive	4
rep1	NA	4PLP	fov_4	64	1305	0.0024414435	3	20.390625	positive	4
rep1	NA	4PLP	fov_5	80	1264	0.002449073	3	15.8	positive	4
rep1	NA	4PLP	fov_6	44	605	0.0023041123	3	13.75	positive	4
rep1	NA	4PLP	fov_7	49	922	0.002151522	3	18.816326530612244	positive	4
rep1	NA	4PLP	fov_8	48	839	0.0022430762	3	17.479166666666668	positive	4
rep1	NA	4PLP	fov_9	44	756	0.002059968	3	17.181818181818183	positive	4
rep1	NA	5PLP	fov_0	76	1818	0.0026855879	3	23.92105263157895	positive	5
rep1	NA	5PLP	fov_1	49	1487	0.00280766	3	30.346938775510203	positive	5
rep1	NA	5PLP	fov_2	59	1937	0.0029144732	3	32.83050847457627	positive	5
rep1	NA	5PLP	fov_3	86	3012	0.003463798	3	35.02325581395349	positive	5
rep1	NA	5PLP	fov_4	151	4388	0.004242008	3	29.05960264900662	positive	5
rep1	NA	5PLP	fov_5	130	4260	0.0038910506	3	32.76923076923077	positive	5
rep1	NA	5PLP	fov_6	107	2937	0.0033264668	3	27.44859813084112	positive	5
rep1	NA	5PLP	fov_7	107	2400	0.0030212863	3	22.429906542056074	positive	5
rep1	NA	5PLP	fov_8	51	1191	0.002716106	3	23.352941176470587	positive	5
rep1	NA	5PLP	fov_9	60	1497	0.002777142	3	24.95	positive	5
rep1	NA	6PLP	fov_0	92	2713	0.002121004	3	29.48913043478261	positive	6
rep1	NA	6PLP	fov_1	92	2403	0.0022278172	3	26.119565217391305	positive	6
rep1	NA	6PLP	fov_2	111	3767	0.0023956664	3	33.93693693693694	positive	6
rep1	NA	6PLP	fov_3	97	3741	0.0024719615	3	38.56701030927835	positive	6
rep1	NA	6PLP	fov_4	102	3739	0.0024414435	3	36.65686274509804	positive	6
rep1	NA	6PLP	fov_5	97	3452	0.0025024796	3	35.58762886597938	positive	6
rep1	NA	6PLP	fov_6	49	970	0.0028839551	3	19.79591836734694	positive	6
rep1	NA	6PLP	fov_7	72	2038	0.002136263	3	28.305555555555557	positive	6
rep1	NA	6PLP	fov_8	56	1306	0.0022125582	3	23.321428571428573	positive	6
rep1	NA	6PLP	fov_9	57	1464	0.0022278172	3	25.68421052631579	positive	6
rep1	NA	7PLP	fov_0	103	2704	0.0022735943	3	26.25242718446602	positive	7
