rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep1	HA	4PLP	fov_7	87	2785	0.0036621653	3	32.01149425287356	positive	4
rep1	HA	4PLP	fov_8	48	1327	0.0038605325	3	27.645833333333332	positive	4
rep1	HA	4PLP	fov_9	41	978	0.0036774243	3	23.853658536585368	positive	4
rep1	HA	5PLP	fov_0	38	1375	0.0030975814	3	36.18421052631579	positive	5
rep1	HA	5PLP	fov_1	64	1457	0.0028839551	3	22.765625	positive	5
rep1	HA	5PLP	fov_2	65	1314	0.002792401	3	20.215384615384615	positive	5
rep1	HA	5PLP	fov_3	79	1694	0.0032501717	3	21.443037974683545	positive	5
rep1	HA	5PLP	fov_4	95	2346	0.003494316	3	24.694736842105264	positive	5
rep1	HA	5PLP	fov_5	58	1394	0.0036316472	3	24.03448275862069	positive	5
rep1	HA	5PLP	fov_6	32	541	0.0030212863	3	16.90625	positive	5
rep1	HA	5PLP	fov_7	38	617	0.002731365	3	16.236842105263158	positive	5
rep1	HA	5PLP	fov_8	60	1244	0.00302891585	3	20.733333333333334	positive	5
rep1	HA	5PLP	fov_9	41	749	0.0030518044	3	18.26829268292683	positive	5
rep1	HA	6PLP	fov_0	78	3251	0.0033264668	3	41.67948717948718	positive	6
rep1	HA	6PLP	fov_1	58	3259	0.0028992142	3	56.189655172413794	positive	6
rep1	HA	6PLP	fov_2	93	4222	0.003540093	3	45.39784946236559	positive	6
rep1	HA	6PLP	fov_3	64	3715	0.0031586175	3	58.046875	positive	6
rep1	HA	6PLP	fov_4	71	3134	0.0033417258	3	44.140845070422536	positive	6
rep1	HA	6PLP	fov_5	69	3255	0.0035706111	3	47.17391304347826	positive	6
rep1	HA	6PLP	fov_7	72	3361	0.0031586175	3	46.68055555555556	positive	6
rep1	HA	6PLP	fov_8	85	3553	0.0033875029	3	41.8	positive	6
rep1	HA	6PLP	fov_9	116	4327	0.0037689784	3	37.30172413793103	positive	6
rep1	HA	7PLP	fov_0	63	2812	0.0031433585	3	44.63492063492063	positive	7
rep1	HA	7PLP	fov_1	46	2263	0.0030060273	3	49.19565217391305	positive	7
rep1	HA	7PLP	fov_2	63	2072	0.002716106	3	32.888888888888886	positive	7
rep1	HA	7PLP	fov_3	96	2480	0.0037079423	3	25.833333333333332	positive	7
rep1	HA	7PLP	fov_4	105	2795	0.0036316472	3	26.61904761904762	positive	7
rep1	HA	7PLP	fov_5	135	3444	0.00421149	3	25.511111111111113	positive	7
rep1	HA	7PLP	fov_6	117	3475	0.003479057	3	29.700854700854702	positive	7
rep1	HA	7PLP	fov_7	92	2655	0.0031128405	3	28.858695652173914	positive	7
rep1	HA	7PLP	fov_8	93	2144	0.0037232013	3	23.053763440860216	positive	7
rep1	HA	7PLP	fov_9	63	2662	0.00343328	3	42.25396825396825	positive	7
rep1	HA	8PLP	fov_0	68	5505	0.0033417258	3	80.95588235294117	positive	8
